skillid,Skill,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
jobs,,gap,gap,gap/hvl,hvl/nov,nov/frb,frb,tq,gwi,gwi,gwi/ips,ips,ips,ips,ips/rfs,rfs,ng,ng/agi,att,att,alu,alu,alu,alu/gt,gt/bb,bb,bb,bb,amzn,amzn,amzn,amzn,amzn,amzn
cpp,C++,10,10,30,60,90,100,100,20,20,100,100,100,100,80,0,0,20,0,0,0,0,0,80,76,55,40,25,0,0,0,0,0,0
ccpp,Classic C++,10,10,30,60,90,100,100,20,20,100,100,100,100,80,,,20,,,,,,80,30,,,,,,,,,
mcpp,Modern C++,0,,,,,,,,,,,,,,,,,,,,,,,46,55,40,25,,,,,,
cs,C#,0,,,,,,,,,,,,,20,80,80,60,80,80,100,100,80,20,10,,,,,,,,,
csdn,C#/DotNet,0,,,,,,,,,,,,,20,95,80,60,80,80,100,100,80,30,20,,,,,,,,,
py,Python,0,,,,,,,,,,,,,,,,,,,,,,,10,20,30,40,1,1,1,1,1,1
js,JavaScript,0,,,,,,,,,,,,,,,,5,15,15,,,,,,5,10,15,5,5,10,10,10,10
java,Java,0,,,,,,,,,,,,,,,,,5,5,,,20,,,,,,90,90,50,25,25,60
kotlin,Kotlin,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,60,60,25
javkot,Java/Kotlin,0,,,,,,,,,,,,,,,,,5,5,,,20,,,,,,90,90,85,85,85,85
fortran,Fortran,0,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,
script,Scripting,10,10,20,20,,,,,,,,,,,,,,,,,,,,2,5,5,5,2,2,2,2,2,2
appl,Application Languages,20,20,30,20,10,,,80,80,,,,,,,20,15,,,,,,,,,,,,,,,,
other,Other Languages,0,,,,,,,,,,,,,,20,,,,,,,,,2,5,5,5,2,2,2,2,2,2
win,Windows,40,40,60,100,100,100,100,,,100,100,100,100,50,70,100,80,,,,,,70,50,,,,,,,,,
web,Web,0,,,,,,,,50,,,,,50,30,,20,100,100,100,100,100,30,,10,10,10,,5,5,5,5,5
unix,Unix,0,,,,,,,,,,,,,,,,,,,,,,,50,90,90,90,,,,,,
cloud,Cloud,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,95,95,95,95,95
appt,Application Platforms,0,,20,,,,,100,50,,,,,,,,,,,,,,,,,,,,,,,,
db,Databases,10,10,10,20,40,100,10,0,0,0,0,0,0,20,100,80,50,20,20,0,20,30,20,10,10,10,10,40,40,40,40,40,40
tcpip,TCP/IP,0,,,,,,,,,40,50,100,100,80,,,,,,,,,,,,,,,,,,,
iptv,IPTV,0,,,,,,,,,,,,,,,,,80,80,100,80,70,20,,,,,,,,,,
dotnet,Dot Net,0,,,,,,,,,,,,,20,100,100,80,100,100,100,100,100,100,40,,,,,,,,,